subject,id,trial,stream,freq,amp,conj
6,AE06,18,target,0.1,9,0
6,AE06,19,eyelink,0.2,-9,0.890568290805082
6,AE06,19,adhawk,0.2,-9,0.0724974620287675
6,AE06,19,target,0.2,-9,0
6,AE06,20,eyelink,0.01,-9,0.617292719283903
6,AE06,20,adhawk,0.01,-9,-0.964899166775602
6,AE06,20,target,0.01,-9,0
6,AE06,21,eyelink,0.01,-9,0.615609041566612
6,AE06,21,adhawk,0.01,-9,-0.122820435014141
6,AE06,21,target,0.01,-9,0
6,AE06,22,eyelink,0.2,-9,0.20370216131673
6,AE06,22,adhawk,0.2,-9,-0.355414334623597
6,AE06,22,target,0.2,-9,0
6,AE06,23,eyelink,0.01,9,0.832473834959365
6,AE06,23,adhawk,0.01,9,0.407917794074475
6,AE06,23,target,0.01,9,0
6,AE06,24,eyelink,0.01,9,13.4254905973134
6,AE06,24,adhawk,0.01,9,0.143323716266411
6,AE06,24,target,0.01,9,0
6,AE06,25,eyelink,0.1,-9,1.06296555401084
6,AE06,25,adhawk,0.1,-9,0.520809172687346
6,AE06,25,target,0.1,-9,0
6,AE06,26,eyelink,0.01,-9,0.172243807956377
6,AE06,26,adhawk,0.01,-9,-0.796069498981078
6,AE06,26,target,0.01,-9,0
6,AE06,27,eyelink,0.2,-9,0.628070775041547
6,AE06,27,adhawk,0.2,-9,-1.10912289164281
6,AE06,27,target,0.2,-9,0
6,AE06,28,eyelink,0.1,-9,0.286595389000061
6,AE06,28,adhawk,0.1,-9,NaN
6,AE06,28,target,0.1,-9,0
6,AE06,29,eyelink,0.1,-9,-0.174636235836896
6,AE06,29,adhawk,0.1,-9,NaN
6,AE06,29,target,0.1,-9,0
6,AE06,30,eyelink,0.2,9,0.10171911164463
6,AE06,30,adhawk,0.2,9,17.4968905631017
6,AE06,30,target,0.2,9,0
7,AE07,1,eyelink,0.2,-9,-0.397463242262896
7,AE07,1,adhawk,0.2,-9,-0.501299246654545
7,AE07,1,target,0.2,-9,0
7,AE07,2,eyelink,0.1,-9,0.262614805856575
7,AE07,2,adhawk,0.1,-9,0.778817464353102
7,AE07,2,target,0.1,-9,0
7,AE07,3,eyelink,0.1,-9,0.150459202564249
7,AE07,3,adhawk,0.1,-9,-0.166619321376268
7,AE07,3,target,0.1,-9,0
7,AE07,4,eyelink,0.2,9,-0.101520554486538
7,AE07,4,adhawk,0.2,9,-0.394593625904779
7,AE07,4,target,0.2,9,0
7,AE07,5,eyelink,0.01,9,-0.129554152761079
7,AE07,5,adhawk,0.01,9,-0.653437923570313
7,AE07,5,target,0.01,9,0
